LOCATION,Country,FREQUENCY,CPI Index,TIME,1Y Inflation,5Y Inflation,20Y Inflation
GRC,Greece,M,82.13366,2004-04-30,0.02912727680974503,0.03238380657826645,0.10630451484223102
GRC,Greece,M,82.49297,2004-05-31,0.029341862583753375,0.033393063244063104,0.10578311598786105
GRC,Greece,M,82.24976,2004-06-30,0.028195773046716166,0.03277574391817195,0.10454903529600168
GRC,Greece,M,80.75452,2004-07-31,0.029360170235807947,0.03304560610200191,0.10396161382777569
GRC,Greece,M,80.55514,2004-08-31,0.027239165167350032,0.032721836705569496,0.10425393465714694
GRC,Greece,M,82.1675,2004-09-30,0.028212187807287403,0.03285790659066046,0.10396646741376747
GRC,Greece,M,82.7954,2004-10-31,0.03235889282584181,0.03385951458280756,0.10303939532623874
GRC,Greece,M,82.87689,2004-11-30,0.031425303300572915,0.03353510596415599,0.10238219810071802
GRC,Greece,M,83.19361,2004-12-31,0.030923640981519673,0.03300718291910809,0.10159235280352386
GRC,Greece,M,83.40212,2005-01-31,0.0403136228849208,0.035853802319860906,0.10045781578124613
GRC,Greece,M,82.39728,2005-02-28,0.030972357892848024,0.0337843348959308,0.09979106876911259
GRC,Greece,M,84.26922,2005-03-31,0.028927074439112355,0.033429338595882374,0.09950148469204945
GRC,Greece,M,84.9129,2005-04-30,0.033838014767635816,0.03400636233679344,0.09917314324903237
GRC,Greece,M,85.16113,2005-05-31,0.03234408944180345,0.034009057996664316,0.09887214221229557
GRC,Greece,M,84.98013,2005-06-30,0.03319608470590074,0.034366429429373735,0.09757439102493004
GRC,Greece,M,83.93741,2005-07-31,0.03941438819771337,0.0354526137676745,0.09762015719213268
GRC,Greece,M,83.56197,2005-08-31,0.037326358069764476,0.034202515713995574,0.0972832333739404
GRC,Greece,M,85.40157,2005-09-30,0.03935947911278803,0.034442910639548074,0.09599253063742275
GRC,Greece,M,85.97086,2005-10-31,0.03835309691118116,0.0334715841377331,0.09456626611983876
GRC,Greece,M,85.79525,2005-11-30,0.035213193931384223,0.03209712942103815,0.09296734933809336
GRC,Greece,M,86.20647,2005-12-31,0.03621504103500239,0.03244133595884802,0.09138800728733298
GRC,Greece,M,86.10822,2006-01-31,0.032446417429197405,0.035533366350554374,0.09000605293011232
GRC,Greece,M,85.0622,2006-02-28,0.032342329746807286,0.033210084983208654,0.08964748579057757
GRC,Greece,M,87.05247,2006-03-31,0.03302807359555482,0.03397739474917727,0.08923812764509553
GRC,Greece,M,87.69267,2006-04-30,0.03273672198217259,0.03355607943589334,0.08882161268353617
GRC,Greece,M,87.8282,2006-05-31,0.03131792638261133,0.03300371144422054,0.0886122184153122
GRC,Greece,M,87.72897,2006-06-30,0.03234685567084927,0.032990832486020194,0.08739324126908588
GRC,Greece,M,87.16526,2006-07-31,0.03845543959481246,0.035300929389372016,0.08761813628855109
GRC,Greece,M,86.51667,2006-08-31,0.03535938657262383,0.033704632167946835,0.08735681911531112
GRC,Greece,M,87.90386,2006-09-30,0.029300281013568963,0.03308175078576281,0.08636927351029855
GRC,Greece,M,88.38887,2006-10-31,0.02812592545892878,0.033565230998792384,0.08521834005208073
GRC,Greece,M,88.30551,2006-11-30,0.02925872935856,0.033150789046118456,0.0847602572013646
GRC,Greece,M,88.7141,2006-12-31,0.02908865193064991,0.03216834584743,0.08440619180732756
GRC,Greece,M,88.45924,2007-01-31,0.027303084420976287,0.03212888600398767,0.08358685595404003
GRC,Greece,M,87.33533,2007-02-28,0.026723150823749986,0.031686420895461476,0.08263148506534201
GRC,Greece,M,89.34396,2007-03-31,0.026323089970910596,0.03122370084298476,0.08218483396991783
GRC,Greece,M,89.90961,2007-04-30,0.025280790287261157,0.030942927660713382,0.08139536536720438
GRC,Greece,M,90.1312,2007-05-31,0.02622164635048896,0.03147424632366902,0.08115685146988172
GRC,Greece,M,90.04034,2007-06-30,0.02634671306411085,0.03163619907189008,0.07982256187939574
GRC,Greece,M,89.36382,2007-07-31,0.025222892698306687,0.03366010782193718,0.08051001489008991
GRC,Greece,M,88.70371,2007-08-31,0.025278827768105305,0.031667066231858776,0.08041766586872079
GRC,Greece,M,90.4703,2007-09-30,0.029195987525462375,0.03187654353749014,0.08050294115746248
GRC,Greece,M,91.12526,2007-10-31,0.030958535842804613,0.032298100682615294,0.07921995643982882
GRC,Greece,M,91.77847,2007-11-30,0.03932891616842493,0.033729367151587475,0.07913716705871132
GRC,Greece,M,92.15891,2007-12-31,0.0388304677610436,0.03315588126534186,0.0785508678028437
GRC,Greece,M,91.90598,2008-01-31,0.038964160216615085,0.03364707373331011,0.07846007201362482
GRC,Greece,M,91.20977,2008-02-29,0.044362802545086844,0.03187777248655643,0.07822261353773752
GRC,Greece,M,93.30563,2008-03-31,0.044341777552729944,0.031931595062541396,0.07785837467419987
GRC,Greece,M,93.89681,2008-04-30,0.04434676115267333,0.03304621360907367,0.07714711045995504
GRC,Greece,M,94.55634,2008-05-31,0.04909665021657306,0.03363372260887876,0.07735998995511806
GRC,Greece,M,94.46169,2008-06-30,0.04910410156158895,0.033806782676546465,0.07638564209501819
GRC,Greece,M,93.72826,2008-07-31,0.04883900442035727,0.036225355531392944,0.07639713697857031
GRC,Greece,M,92.84766,2008-08-31,0.046716760775845856,0.03435556428706499,0.0758351722651549
GRC,Greece,M,94.66322,2008-09-30,0.046345817356635344,0.03445782568461242,0.0754907542228691
GRC,Greece,M,94.6645,2008-10-31,0.03883928561630445,0.03371859345788231,0.07414138755084942
GRC,Greece,M,94.41068,2008-11-30,0.02868003792174778,0.032773515467817704,0.0735381149949148
GRC,Greece,M,93.97079,2008-12-31,0.01966038877846965,0.030922175089749482,0.07258157262376241
GRC,Greece,M,93.51973,2009-01-31,0.017558705102758143,0.03128354426104285,0.07232356417275976
GRC,Greece,M,92.66602,2009-02-28,0.015965943122101978,0.030032507811409204,0.07205016395075647
GRC,Greece,M,94.51437,2009-03-31,0.012954630926343969,0.029064728690206598,0.07176058782453687
GRC,Greece,M,94.79906,2009-04-30,0.00960895263641004,0.029097613323182614,0.07104341871665931
GRC,Greece,M,95.02377,2009-05-31,0.00494340199715837,0.028686554457632685,0.071027584308204
GRC,Greece,M,94.95932,2009-06-30,0.005268061581366945,0.029154533115933967,0.07011031152950564
GRC,Greece,M,94.26079,2009-07-31,0.005681637533866413,0.03141358436843067,0.06999292688360947
GRC,Greece,M,93.56789,2009-08-31,0.0077571152574011926,0.03040205427894649,0.06950357606183477
GRC,Greece,M,95.33872,2009-09-30,0.007135823184548418,0.03018174224741821,0.06857352584464005
GRC,Greece,M,95.81895,2009-10-31,0.012195173481083232,0.029648615267913625,0.0680133751280032
GRC,Greece,M,96.29597,2009-11-30,0.019969033164468186,0.03046900490581983,0.06781895382094372
GRC,Greece,M,96.4534,2009-12-31,0.0264189542303519,0.03001966020041258,0.06657529238006421
GRC,Greece,M,95.74278,2010-01-31,0.023770919783451028,0.02798265915291842,0.06586906813548676
GRC,Greece,M,95.23306,2010-02-28,0.027702063820157496,0.029378214539389047,0.06552914441017932
